id,seg,img
CA_055,./assets/Coronary_data/seg/CA_055.nii.gz,./assets/Coronary_data/img/CA_055.nii.gz
CA_056,./assets/Coronary_data/seg/CA_056.nii.gz,./assets/Coronary_data/img/CA_056.nii.gz
CA_057,./assets/Coronary_data/seg/CA_057.nii.gz,./assets/Coronary_data/img/CA_057.nii.gz
CA_058,./assets/Coronary_data/seg/CA_058.nii.gz,./assets/Coronary_data/img/CA_058.nii.gz
CA_060,./assets/Coronary_data/seg/CA_060.nii.gz,./assets/Coronary_data/img/CA_060.nii.gz
CA_061,./assets/Coronary_data/seg/CA_061.nii.gz,./assets/Coronary_data/img/CA_061.nii.gz
CA_062,./assets/Coronary_data/seg/CA_062.nii.gz,./assets/Coronary_data/img/CA_062.nii.gz
CA_063,./assets/Coronary_data/seg/CA_063.nii.gz,./assets/Coronary_data/img/CA_063.nii.gz
CA_064,./assets/Coronary_data/seg/CA_064.nii.gz,./assets/Coronary_data/img/CA_064.nii.gz
CA_065,./assets/Coronary_data/seg/CA_065.nii.gz,./assets/Coronary_data/img/CA_065.nii.gz
CA_066,./assets/Coronary_data/seg/CA_066.nii.gz,./assets/Coronary_data/img/CA_066.nii.gz
CA_067,./assets/Coronary_data/seg/CA_067.nii.gz,./assets/Coronary_data/img/CA_067.nii.gz
CA_070,./assets/Coronary_data/seg/CA_070.nii.gz,./assets/Coronary_data/img/CA_070.nii.gz
CA_071,./assets/Coronary_data/seg/CA_071.nii.gz,./assets/Coronary_data/img/CA_071.nii.gz
CA_072,./assets/Coronary_data/seg/CA_072.nii.gz,./assets/Coronary_data/img/CA_072.nii.gz
CA_074,./assets/Coronary_data/seg/CA_074.nii.gz,./assets/Coronary_data/img/CA_074.nii.gz
CA_075,./assets/Coronary_data/seg/CA_075.nii.gz,./assets/Coronary_data/img/CA_075.nii.gz
CA_078,./assets/Coronary_data/seg/CA_078.nii.gz,./assets/Coronary_data/img/CA_078.nii.gz
CA_079,./assets/Coronary_data/seg/CA_079.nii.gz,./assets/Coronary_data/img/CA_079.nii.gz
CA_080,./assets/Coronary_data/seg/CA_080.nii.gz,./assets/Coronary_data/img/CA_080.nii.gz
CA_081,./assets/Coronary_data/seg/CA_081.nii.gz,./assets/Coronary_data/img/CA_081.nii.gz
CA_082,./assets/Coronary_data/seg/CA_082.nii.gz,./assets/Coronary_data/img/CA_082.nii.gz
CA_083,./assets/Coronary_data/seg/CA_083.nii.gz,./assets/Coronary_data/img/CA_083.nii.gz
CA_084,./assets/Coronary_data/seg/CA_084.nii.gz,./assets/Coronary_data/img/CA_084.nii.gz
CA_085,./assets/Coronary_data/seg/CA_085.nii.gz,./assets/Coronary_data/img/CA_085.nii.gz
CA_086,./assets/Coronary_data/seg/CA_086.nii.gz,./assets/Coronary_data/img/CA_086.nii.gz
CA_088,./assets/Coronary_data/seg/CA_088.nii.gz,./assets/Coronary_data/img/CA_088.nii.gz
CA_090,./assets/Coronary_data/seg/CA_090.nii.gz,./assets/Coronary_data/img/CA_090.nii.gz
CA_091,./assets/Coronary_data/seg/CA_091.nii.gz,./assets/Coronary_data/img/CA_091.nii.gz
CA_092,./assets/Coronary_data/seg/CA_092.nii.gz,./assets/Coronary_data/img/CA_092.nii.gz
CA_094,./assets/Coronary_data/seg/CA_094.nii.gz,./assets/Coronary_data/img/CA_094.nii.gz
CA_096,./assets/Coronary_data/seg/CA_096.nii.gz,./assets/Coronary_data/img/CA_096.nii.gz
CA_097,./assets/Coronary_data/seg/CA_097.nii.gz,./assets/Coronary_data/img/CA_097.nii.gz
CA_098,./assets/Coronary_data/seg/CA_098.nii.gz,./assets/Coronary_data/img/CA_098.nii.gz
CA_099,./assets/Coronary_data/seg/CA_099.nii.gz,./assets/Coronary_data/img/CA_099.nii.gz
CA_100,./assets/Coronary_data/seg/CA_100.nii.gz,./assets/Coronary_data/img/CA_100.nii.gz
